frame,time_sec,velocity,velocity_sem,displacement,displacement_sem
0,0,0.0624057955601035,0.014725545916986169,0.0,0.0
1,30,0.07044668284259567,0.02327462826154979,1.8721738668031043,0.4417663775095851
2,60,0.04783456951539981,0.010987347696975697,3.5098579200696465,1.1444222904743562
3,90,0.05512483655360783,0.01191399861062633,4.752827236944655,1.377859059950415
4,120,0.05585526312762109,0.008936405498788364,6.281416452710207,1.6308350236818931
5,150,0.05345759407515514,0.010363049343300006,7.706450430271364,1.6284100307390323
6,180,0.056985503561731585,0.011307157102285323,8.855159804663236,1.6517694751488006
7,210,0.06344455168570502,0.010402034992512094,10.082385852604617,1.8033078070932191
8,240,0.10826211596718101,0.02193278767418804,11.63536983994824,2.0152939466497184
9,270,0.11359303266501716,0.02362797626545879,13.683644530819805,2.2812794623507915
10,300,0.07714966739600415,0.02993385881489258,16.117672384814234,2.894765174957395
11,330,0.08728391411949808,0.02193213951787,18.292519340071866,3.849027081270482
12,360,0.06762759397008804,0.013603675583548906,19.10325852089544,3.377987716186735
13,390,0.07577987438170763,0.009176980589086748,20.51392982233307,3.4179267126674513
14,420,0.12751203467258923,0.028952980187657826,21.18740661418966,3.441045242607521
15,450,0.09243020507580367,0.014845150732910718,22.88565986491169,4.595398449474634
16,480,0.07258987563252359,0.015957435072374803,24.07207156153011,4.9324619669176855
17,510,0.07260939727213932,0.012610805223557956,24.510034658067795,5.1954490981015
18,540,0.08721795552327319,0.013827874336057228,25.63834810409068,5.464477844503601
19,570,0.06501761837025619,0.011773842311116483,27.718062191325444,5.592587801530795
20,600,0.06906858832495108,0.007804278789441558,29.03319423296191,5.779245812433494
21,630,0.0773409265524236,0.011681871568621003,29.902912315406915,6.114475512695939
22,660,0.10406244595818613,0.026438844285219677,31.286020137444147,6.342534921793001
23,690,0.09193176765310998,0.02196005707010886,31.516139833726083,6.471476040770617
24,720,0.07349938746695348,0.01966994967821459,29.38205394166169,6.258558111382645
25,750,0.0697061055573368,0.010267407887702392,30.253898448434505,6.565799699626779
26,780,0.08784518340937451,0.01587037279108756,31.624644291841282,6.733369955007085
27,810,0.06078458135022705,0.011567908203204122,33.223764340054025,7.014367861926167
28,840,0.07379383585778766,0.013337952036779838,34.37223075384502,7.000943870978257
29,870,0.07224200443934867,0.015210925841607985,35.66794930063103,7.058670063830893
30,900,0.0917516431831667,0.01930386578277232,36.81248937450266,7.117176346771025
31,930,0.08140822722811253,0.017859176699400747,38.60039146206986,7.286191346490278
32,960,0.08777127390765214,0.020317640302218463,39.91248928534149,7.455391323540634
33,990,0.09065715277585784,0.024349924646962017,41.472206439695434,7.651735714134582
34,1020,0.11835506787166732,0.03203488889393298,43.03537231480067,7.838448795814873
35,1050,0.061590426037473715,0.012220425294846649,41.00754184868733,8.123369185850242
36,1080,0.07805051356060405,0.015549219222017087,42.15620396406941,8.224829376230335
37,1110,0.08291245484176847,0.014068147278607591,43.849489850411544,8.470850382963798
38,1140,0.07561035979802674,0.017009835975123153,44.80651806299695,8.762342312259047
39,1170,0.09653230651892915,0.02117592865274017,45.44027583022197,9.099568665796264
40,1200,0.08988641509331881,0.027018223200884126,48.190151733093145,9.786352538246728
41,1230,0.07485427517653523,0.018913279561160238,47.172802800984115,9.539210134506893
42,1260,0.06500678164556946,0.011358071094406069,48.12073041362665,9.906209907092386
43,1290,0.07257924283007834,0.02275593304491407,49.094691066698005,10.184505640121959
44,1320,0.06590145452383382,0.014811682853434933,50.46946435733511,10.245191612148819
45,1350,0.08825433324132975,0.020031536881815384,51.61707977329011,10.333156072526368
46,1380,0.09456545989581314,0.020540215630488287,52.36020355911472,11.146257121375298
47,1410,0.09442090842028127,0.025307452040458627,55.808470699874164,11.846622797705912
48,1440,0.11073313967344617,0.025619435509799744,57.45690810701418,11.476848845995736
49,1470,0.1163005927826703,0.02544828594185479,56.24829055228625,11.433839227443329
50,1500,0.13580463161314643,0.03446091584052296,60.59856038159764,12.33946788433014
51,1530,0.11258242199104056,0.029612082916194354,60.334284837197345,12.714799302771874
52,1560,0.08628019968660564,0.025794485294702234,62.48803362412281,13.35673931580624
53,1590,0.07895912423771964,0.02064093415834657,64.61533214445026,13.984809051519129
54,1620,0.08911651793809675,0.02497779152095723,65.97658785404899,14.572318960155334
55,1650,0.1158169741341204,0.034107078453777535,67.51042153749452,15.122023540514977
56,1680,0.09873601212079225,0.028401823847786577,70.09460313124785,16.062487773440626
57,1710,0.1134856971203344,0.03139874224098568,72.08922745533047,16.678332934025615
58,1740,0.13020779536867066,0.03304585090629238,74.19153121014229,17.43235568578389
59,1770,0.08370841994610748,0.0234319442730986,76.65399729745357,18.157867149123
60,1800,0.1194063296053797,0.024539443559690562,78.2997805387069,18.625339783591418
61,1830,0.10450393180407776,0.022377747348914522,84.32684150877746,19.66692275404162
62,1860,0.13281082036947844,0.027747851478140923,81.13043866596588,19.33917637703105
63,1890,0.1334486828128153,0.03009354525276187,86.26755575642798,20.726278621428936
64,1920,0.1289146366707068,0.029421656281186388,87.66032767584153,21.69168868079268
65,1950,0.13068815146035778,0.033069066426024786,88.98630035851852,22.534857367215572
66,1980,0.13185474126500207,0.025142150532818205,89.67012876013621,23.20196727270921
67,2010,0.1137756550426649,0.017259781892730697,90.51912558721838,23.94074129536985
68,2040,0.09379168696805032,0.016061120923974298,90.79621977551366,24.18036943994341
69,2070,0.12835362142887968,0.029563803644826896,90.64432061901769,24.4014795465536
70,2100,0.13502308666309581,0.03107617071723138,91.1966622067273,24.938202955404204
71,2130,0.09756816100898597,0.020771366939648886,92.62035019166751,25.544975277211044
72,2160,0.12177697137512139,0.03071721667751807,93.44547832476103,26.12059244920884
73,2190,0.08195989128808089,0.024630824865254447,95.22066685571093,26.682151607912736
74,2220,0.11008482664865617,0.026599311736272616,96.6589492836419,27.12957974123099
75,2250,0.15467918815171863,0.030070350484506816,97.66307330650271,27.713262904333778
76,2280,0.1174088224687695,0.025645376781911727,93.14924486750071,29.86749836546187
77,2310,0.14854907609315982,0.03171112645438623,94.42519207410263,30.403009301206772
78,2340,0.14750938012041023,0.030954296599706242,96.82329093290454,30.93990268243098
79,2370,0.11586421364829366,0.02005832096024854,104.97425744216247,29.86045220964156
80,2400,0.08292658580625972,0.017281209709717683,107.31839798704684,30.3237423923018
81,2430,0.107442446433478,0.019366330691998033,109.3763684795062,30.578887740360443
82,2460,0.11774269978498274,0.0272621576451009,111.57597474788719,30.96913206247264
83,2490,0.10941185111913711,0.02255693496260378,113.059726799002,31.362930981700515
84,2520,0.09207620370678024,0.018128222835559964,115.10874575658467,31.71023966776965
85,2550,0.11878600699764406,0.02286183756347966,116.62492904431252,32.06529023564893
86,2580,0.12016831596020958,0.021768163339153497,118.35187154276805,31.9984177714611
87,2610,0.11992753793435693,0.02073981763201146,120.99931357975137,31.974323706120895
88,2640,0.11362948361655884,0.023253857543146315,123.6698941861984,31.92146862967504
89,2670,0.10845947458723991,0.018570536613879675,125.81282537504313,32.03318804373366
90,2700,0.12638190846594347,0.022718606605870495,127.07026284680559,32.242948479755995
91,2730,0.12193115346482299,0.021795145142071728,128.19277107174364,32.41989261119537
92,2760,0.10650202611442774,0.015267916226687418,129.7358641611885,32.4678658991376
93,2790,0.12719014977241072,0.01857371325338841,131.204952890483,32.53525572978608
94,2820,0.14170562683910237,0.02716557690409901,133.1449273309011,32.64017154455798
95,2850,0.11390056607628599,0.02498778588345744,133.63375380743403,32.879116280291406
96,2880,0.11391630698594582,0.0212667461849765,135.21521858468952,33.19607579497479
97,2910,0.1109398734075282,0.021751316920167296,137.4956376092668,33.4568451616975
98,2940,0.09951892650305712,0.02016845514641236,139.7816895096998,33.72210218128191
99,2970,0.18136706551407045,0.04334380811167787,141.14676339786166,33.98202726412871
100,3000,0.12360405098449474,0.025007943998916187,144.2913143927667,34.198430201842164
101,3030,0.1340701488031616,0.02075352856034648,145.32922941435885,34.3050734107088
102,3060,0.14743103969905205,0.032332759797726346,147.40093768301364,34.4742965969167
103,3090,0.1280652757111064,0.01983642315851805,148.91462979725213,35.045586123081684
104,3120,0.14073032219699885,0.018046613102657993,151.16995935993353,35.26016706103035
105,3150,0.1381113229659458,0.02384825792423439,154.08410996449774,35.469830098911544
106,3180,0.14347329230493294,0.026766586082689336,156.26443570191134,35.63506826592967
107,3210,0.14825431075808723,0.025006225834898383,159.46945633865647,35.65920902470331
108,3240,0.13617230790850882,0.023308423540065334,162.20101429244602,35.717802457727714
109,3270,0.1690254867428142,0.031123439884765222,164.58375025104095,35.92725775424382
110,3300,0.159241777350906,0.026877029080563945,157.7967378218421,35.16852668531997
111,3330,0.1591976251994089,0.026246219858263004,161.04971643779297,35.4596274040206
112,3360,0.12965068965095505,0.019215337591314427,164.13217671038024,35.61298613504016
113,3390,0.1758632271487938,0.028696773059813954,167.00597542786116,35.70347872553751
114,3420,0.14441608437759432,0.023290622060245295,177.981732425779,37.25155735462261
115,3450,0.13387332106604743,0.021062807119794007,181.2442140920548,37.438703585703635
116,3480,0.14450531472575012,0.018853491321263842,183.3788562205309,37.62246299846308
117,3510,0.17642731389608973,0.026610248484924586,186.38165465014373,37.560111113783286
118,3540,0.22126259708054824,0.027396183545058433,175.72014577671447,37.44731179369316
119,3570,0.22137805184741538,0.024467068897453054,193.86797719593397,37.664239026187
